    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
    8900     1000     -528.06145      -418.6179              0     -109.44355           1000       17285718 
    9000     1000     -530.97682     -436.49138              0     -94.485432           1000       17468302 
    9100     1000     -524.17478     -408.72351              0     -115.45127           1000       17651991 
    9200     1000     -509.56503     -408.90329              0     -100.66174           1000       17646882 
    9300     1000     -524.97758     -418.51332              0     -106.46425           1000       17742706 
    9400     1000     -512.35474     -400.59726              0     -111.75748           1000       17809320 
    9500     1000     -569.30354     -448.51547              0     -120.78807           1000       17837309 
    9600     1000     -513.29558     -415.06203              0     -98.233549           1000       17986404 
    9700     1000     -529.38563      -429.8191              0      -99.56653           1000       17977559 
    9800     1000     -523.98992     -418.66777              0     -105.32214           1000       18007514 
    9900     1000     -534.50979     -436.22924              0     -98.280545           1000       18015442 
   10000     1000     -536.57514     -440.94585              0     -95.629288           1000       18030861 
   10100     1000      -483.5913     -397.29999              0     -86.291303           1000       17939065 
   10200     1000     -523.32879     -412.05111              0     -111.27768           1000       18058813 
   10300     1000     -552.73869     -443.36764              0     -109.37105           1000       18309485 
   10400     1000      -531.8334     -418.39462              0     -113.43878           1000       18314766 
   10500     1000     -551.12824     -430.02807              0     -121.10017           1000       18555700 
   10600     1000     -569.54537     -454.44579              0     -115.09958           1000       18703593 
   10700     1000       -542.473     -441.55186              0     -100.92113           1000       18685466 
   10800     1000     -507.92461     -397.35342              0     -110.57119           1000       18825710 
   10900     1000     -492.56168     -389.93324              0     -102.62844           1000       19007022 
   11000     1000     -501.83092     -399.11261              0     -102.71832           1000       18976801 
   11100     1000     -502.00812     -408.55286              0     -93.455266           1000       19098508 
   11200     1000     -518.82068     -409.93044              0     -108.89024           1000       19104892 
   11300     1000     -548.47001     -439.91981              0      -108.5502           1000       19191222 
   11400     1000     -562.00339     -448.59437              0     -113.40902           1000       19128961 
   11500     1000     -537.55897     -422.98546              0     -114.57351           1000       19252020 
   11600     1000     -521.65313     -423.81354              0     -97.839583           1000       19145661 
   11700     1000     -563.84289     -451.27398              0     -112.56891           1000       19081186 
   11800     1000      -565.5516     -446.82938              0     -118.72222           1000       19159384 
   11900     1000     -507.80859     -391.04611              0     -116.76248           1000       19135927 
   12000     1000     -536.55355       -434.725              0     -101.82855           1000       19298575 
   12100     1000     -544.91905     -432.70739              0     -112.21166           1000       19354525 
   12200     1000     -527.54446     -432.90029              0     -94.644178           1000       19413695 
   12300     1000     -570.41414     -449.01287              0     -121.40126           1000       19471371 
   12400     1000     -546.13804     -436.95406              0     -109.18398           1000       19538275 
   12500     1000     -555.46729     -440.31176              0     -115.15553           1000       19717605 
   12600     1000     -539.74014     -431.66167              0     -108.07847           1000       19797671 
   12700     1000     -537.90434     -436.30111              0     -101.60323           1000       19762296 
   12800     1000     -551.56524     -442.72318              0     -108.84206           1000       19976037 
   12900     1000     -583.02581     -467.29158              0     -115.73422           1000       20155187 
